# Ultimate compression benchmark

## Results for examples/database.sql:

Tool                                    CS     CT    DT  Result
gzip (v1.10) (level 7)              5796717    9500   822  Ok
gzip (v1.10) (level 8)              5277929   37488   772  Ok
gzip (v1.10) (level 9)              5379065   62164   773  Ok
lizard (v1.0.0) (level 10)         11613819     320   220  Ok
lizard (v1.0.0) (level 11)         11606606     320   221  Ok
lizard (v1.0.0) (level 12)         10395304    1025   219  Ok
lizard (v1.0.0) (level 13)          9985169    1825   222  Ok
lizard (v1.0.0) (level 14)          9732029    2325   219  Ok
lizard (v1.0.0) (level 15)          9554467    3079   220  Ok
lizard (v1.0.0) (level 16)          9662624    4182   219  Ok
lizard (v1.0.0) (level 17)          9232609   30464   219  Ok
lizard (v1.0.0) (level 18)          8826674   44911   219  Ok
lizard (v1.0.0) (level 19)          8610225  103752   220  Ok
lizard (v1.0.0) (level 20)         11989077     370   270  Ok
lizard (v1.0.0) (level 21)         10749087     622   220  Ok
lizard (v1.0.0) (level 22)         10749318     670   270  Ok
lizard (v1.0.0) (level 23)          7950580    2928   170  Ok
lizard (v1.0.0) (level 24)          7901035    3729   170  Ok
lizard (v1.0.0) (level 25)          7918429    5436   171  Ok
lizard (v1.0.0) (level 26)          7090164   44708   169  Ok
lizard (v1.0.0) (level 27)          6405510  109903   169  Ok
lizard (v1.0.0) (level 28)          6367715  309526   169  Ok
lizard (v1.0.0) (level 29)          6367715  312801   170  Ok
lizard (v1.0.0) (level 30)          7159423     369   270  Ok
lizard (v1.0.0) (level 31)          7145651     419   270  Ok
lizard (v1.0.0) (level 32)          6147158    1024   269  Ok
lizard (v1.0.0) (level 33)          6136115    1021   270  Ok
lizard (v1.0.0) (level 34)          6142560    1724   269  Ok
lizard (v1.0.0) (level 35)          6065138    2126   219  Ok
lizard (v1.0.0) (level 36)          6013267    2877   219  Ok
lizard (v1.0.0) (level 37)          5889100    3879   219  Ok
lizard (v1.0.0) (level 38)          5854659   26549   219  Ok
lizard (v1.0.0) (level 39)          5533078   92896   269  Ok
lizard (v1.0.0) (level 40)          8765921     372   270  Ok
lizard (v1.0.0) (level 41)          8035396     620   219  Ok
lizard (v1.0.0) (level 42)          8035344     620   220  Ok
lizard (v1.0.0) (level 43)          4683536    2927   220  Ok
lizard (v1.0.0) (level 44)          4762872    4282   272  Ok
lizard (v1.0.0) (level 45)          4858216    6595   219  Ok
lizard (v1.0.0) (level 46)          3881418   23539   219  Ok
lizard (v1.0.0) (level 47)          4144055   46462   219  Ok
lizard (v1.0.0) (level 48)          4274713  106296   219  Ok
lizard (v1.0.0) (level 49)          4320385  317615   219  Ok
lz4 (v1.9.3) (level 1)             11594464     269   169  Ok
lz4 (v1.9.3) (level 2)             11594464     269   169  Ok
lz4 (v1.9.3) (level 3)             10034201    1523   169  Ok
lz4 (v1.9.3) (level 4)              9867607    2225   169  Ok
lz4 (v1.9.3) (level 5)              9560195    3328   170  Ok
lz4 (v1.9.3) (level 6)              9394359    5234   169  Ok
lz4 (v1.9.3) (level 7)              9303115    8497   169  Ok
lz4 (v1.9.3) (level 8)              9222857   13659   169  Ok
lz4 (v1.9.3) (level 9)              9179578   21685   170  Ok
lz4 (v1.9.3) (level 10)             8762664   16719   169  Ok
lz4 (v1.9.3) (level 11)             8590964   48914   169  Ok
lz4 (v1.9.3) (level 12)             8563777   70446   170  Ok
lzf (vNone) (level 1)              11788023     321   269  Ok
lzf (vNone) (level 2)              11788023     324   272  Ok
lzf (vNone) (level 3)              11788023     322   270  Ok
lzf (vNone) (level 4)              11788023     320   270  Ok
lzf (vNone) (level 5)              11788023     322   269  Ok
lzf (vNone) (level 6)              11788023     375   271  Ok
lzf (vNone) (level 7)              11788023     371   270  Ok
lzf (vNone) (level 8)              11788023     320   270  Ok
lzf (vNone) (level 9)              11788023     372   271  Ok
lzf (vNone) (level 10)             11788023     371   270  Ok
lzf (vNone) (level 11)             11788023     321   269  Ok
lzf (vNone) (level 12)             11788023     320   270  Ok
lzma (v5.2.5) (level 1)             3124348    4033   971  Ok
lzma (v5.2.5) (level 2)             3170952    5988   972  Ok
lzma (v5.2.5) (level 3)             3073070    8094   921  Ok
lzma (v5.2.5) (level 4)             3404942   18175   874  Ok
lzma (v5.2.5) (level 5)             2802444   36079   721  Ok
lzma (v5.2.5) (level 6)             1988395  110905   771  Ok
lzma (v5.2.5) (level 7)             1949218  118563   823  Ok
lzma (v5.2.5) (level 8)             1966606  130426   821  Ok
lzma (v5.2.5) (level 9)             1966606  133838   871  Ok
lzop (v1.04) (level 1)             12223386     320   320  Ok
lzop (v1.04) (level 2)             12223623     321   319  Ok
lzop (v1.04) (level 3)             12223623     371   322  Ok
lzop (v1.04) (level 4)             12223623     323   320  Ok
lzop (v1.04) (level 5)             12223623     321   320  Ok
lzop (v1.04) (level 6)             12223623     319   320  Ok
lzop (v1.04) (level 7)              9182468   10654   270  Ok
lzop (v1.04) (level 8)              8750227   84940   272  Ok
lzop (v1.04) (level 9)              8820115  144367   271  Ok
lzturbo (v1.2) (level 10)          15497397     120   121  Ok
lzturbo (v1.2) (level 11)          11894506     521   220  Ok
lzturbo (v1.2) (level 12)          10292788     620   170  Ok
lzturbo (v1.2) (level 19)           8559281   88433   169  Ok
lzturbo (v1.2) (level 20)          11844618     118   119  Ok
lzturbo (v1.2) (level 21)           9718489     369   220  Ok
lzturbo (v1.2) (level 22)           8843956     670   219  Ok
lzturbo (v1.2) (level 29)           6371606  114528   219  Ok
lzturbo (v1.2) (level 30)           6204053     169   119  Ok
lzturbo (v1.2) (level 31)           5125792     622   421  Ok
lzturbo (v1.2) (level 32)           4705391    1071   373  Ok
lzturbo (v1.2) (level 39)           2138711  135083   325  Ok
lzturbo (v1.2) (level 49)           1544521  170559   721  Ok
xz (v5.2.5) (level 1)               3124904    4132  1172  Ok
xz (v5.2.5) (level 2)               3171516    6088  1172  Ok
xz (v5.2.5) (level 3)               3073628    8395  1123  Ok
xz (v5.2.5) (level 4)               3405536   18778  1074  Ok
xz (v5.2.5) (level 5)               2802952   40697   973  Ok
xz (v5.2.5) (level 6)               1988808  127223  1022  Ok
xz (v5.2.5) (level 7)               1949620  135396   972  Ok
xz (v5.2.5) (level 8)               1967008  142018  1074  Ok
xz (v5.2.5) (level 9)               1967008  144969  1123  Ok
zstd (v1.4.9) (level 1)             4298896     471   322  Ok
zstd (v1.4.9) (level 2)             4421865     520   321  Ok
zstd (v1.4.9) (level 3)             4299789     525   320  Ok
zstd (v1.4.9) (level 4)             4296889     525   320  Ok
zstd (v1.4.9) (level 5)             4016874     871   273  Ok
zstd (v1.4.9) (level 6)             3969377    1026   270  Ok
zstd (v1.4.9) (level 7)             3760613    1576   271  Ok
zstd (v1.4.9) (level 8)             3712885    1975   271  Ok
zstd (v1.4.9) (level 9)             3703738    3035   271  Ok
zstd (v1.4.9) (level 10)            3704493    3129   270  Ok
zstd (v1.4.9) (level 11)            3705006    3184   270  Ok
zstd (v1.4.9) (level 12)            3661988    5787   271  Ok
zstd (v1.4.9) (level 13)            3621442   14967   269  Ok
zstd (v1.4.9) (level 14)            3623613   15366   281  Ok
zstd (v1.4.9) (level 15)            3521114   25497   269  Ok
zstd (v1.4.9) (level 16)            3067431   65932   270  Ok
zstd (v1.4.9) (level 17)            2888695   68082   269  Ok
zstd (v1.4.9) (level 18)            2661601  140601   270  Ok
zstd (v1.4.9) (level 19)            2472688  208723   269  Ok
zstd (long) (v1.4.9) (level 1)      4453514     825   370  Ok
zstd (long) (v1.4.9) (level 2)      4582955     771   371  Ok
zstd (long) (v1.4.9) (level 3)      4441885     821   376  Ok
zstd (long) (v1.4.9) (level 4)      4441031     822   370  Ok
zstd (long) (v1.4.9) (level 5)      4160982    1173   372  Ok
zstd (long) (v1.4.9) (level 6)      4091029    1225   370  Ok
zstd (long) (v1.4.9) (level 7)      3924586    1876   372  Ok
zstd (long) (v1.4.9) (level 8)      3892222    2325   320  Ok
zstd (long) (v1.4.9) (level 9)      3890081    3333   321  Ok
zstd (long) (v1.4.9) (level 10)     3841093    3380   324  Ok
zstd (long) (v1.4.9) (level 11)     3831528    3480   321  Ok
zstd (long) (v1.4.9) (level 12)     3791426    6140   321  Ok
zstd (long) (v1.4.9) (level 13)     3749577   15268   320  Ok
zstd (long) (v1.4.9) (level 14)     3747307   15818   321  Ok
zstd (long) (v1.4.9) (level 15)     3645821   25149   319  Ok
zstd (long) (v1.4.9) (level 16)     3073644   65973   321  Ok
zstd (long) (v1.4.9) (level 17)     2936864   67430   324  Ok
zstd (long) (v1.4.9) (level 18)     2667527  138448   322  Ok
zstd (long) (v1.4.9) (level 19)     2476591  197639   321  Ok
zstd (ultra) (v1.4.9) (level 1)     4453514     721   372  Ok
zstd (ultra) (v1.4.9) (level 2)     4582955     773   371  Ok
zstd (ultra) (v1.4.9) (level 3)     4441885     772   370  Ok
zstd (ultra) (v1.4.9) (level 4)     4441031     774   370  Ok
zstd (ultra) (v1.4.9) (level 5)     4160982    1073   370  Ok
zstd (ultra) (v1.4.9) (level 6)     4091029    1274   371  Ok
zstd (ultra) (v1.4.9) (level 7)     3924586    1876   319  Ok
zstd (ultra) (v1.4.9) (level 8)     3892222    2275   321  Ok
zstd (ultra) (v1.4.9) (level 9)     3890081    3431   321  Ok
zstd (ultra) (v1.4.9) (level 10)    3841093    3430   321  Ok
zstd (ultra) (v1.4.9) (level 11)    3831528    3480   320  Ok
zstd (ultra) (v1.4.9) (level 12)    3791426    6290   320  Ok
zstd (ultra) (v1.4.9) (level 13)    3749577   15367   321  Ok
zstd (ultra) (v1.4.9) (level 14)    3747307   15920   320  Ok
zstd (ultra) (v1.4.9) (level 15)    3645821   25505   321  Ok
zstd (ultra) (v1.4.9) (level 16)    3073644   66074   320  Ok
